Site_number,Site_name,Elevation,Slope,Slope_aspect,Land_use,Vegetation,Vegetation_height,Plant_coverage,Geology_GUEK300,Sand_10cm,Silt_10cm,Clay_10cm,Sand_30cm,Silt_30cm,Clay_30cm,Sand_50cm,Silt_50cm,Clay_50cm,Bulk_density_10cm,Bulk_density_30cm,Bulk_density_50cm,Stone_content_10cm,Stone_content_30cm,MP_density_2mm_10cm,MP_density_2mm_30cm,MP_density_5mm_10cm,MP_density_5mm_30cm,SOM_10cm,SOM_30cm,SOM_50cm,Total_porosity_10cm,Total_porosity_30cm,Total_porosity_50cm,lon,lat
13,Gosheim,847,11,135,arable land,alfalfa,0.2,40,Brown Jurassic,6.2,51.0,42.8,2.9,62.0,35.2,1.6,62.8,35.5,1.45,1.57,1.53,5,5,,,,,5.0,2.3,3.5,46.9,42.1,44.0,8.761731,48.144792
14,Bonndorf,821,27,135,pasture,pasture,0.15,100,Lower Shell Limestone,4.3,54.8,40.9,7.6,47.8,44.6,9.8,44.3,45.9,0.93,1.27,1.37,0,0,16,4,20,44,8.5,3.8,2.8,63.5,51.8,49.3,8.338600,47.814092
15,Zimmern,670,14,135,arable land,winter barley,0.05,0,Jurassic,23.4,46.7,29.8,27.9,35.4,36.8,22.3,46.3,31.3,1.45,,,30,45,,,,,4.9,2.7,1.8,45.4,,,8.704150,47.933921
16,Zimmern,694,12,135,pasture,pasture,0.1,100,Jurassic,20.9,48.9,30.3,31.6,33.1,35.4,39.2,46.6,14.3,,1.48,,25,40,,,,,13.9,3.1,2.4,,45.5,,8.703113,47.934944
17,Aasen,714,14,135,pasture,pasture,0.05,100,Cley Keuper,23.1,51.9,25.1,20.9,45.6,33.5,32.4,46.5,21.1,1.41,1.96,1.72,2,2,72,36,32,28,4.6,0.7,1.0,47.0,28.3,37.4,8.543461,47.983580
18,Aasen,715,12,135,arable land,alfalfa and clover,0.2,60,Cley Keuper,13.3,24.6,62.1,14.1,46.5,39.4,21.6,44.6,33.8,1.48,1.56,1.71,0,0,0,0,36,20,4.0,7.1,0.7,45.0,42.5,38.0,8.542800,47.982615
19,Baiersbronn,596,21,90,pasture,pasture,0.15,100,Middle Red Sandstone,63.0,8.1,29.0,57.6,21.3,21.0,58.6,30.1,11.2,1.27,1.34,1.52,0,10,12,36,0,20,5.0,2.4,0.3,51.0,48.3,41.7,8.378209,48.507662
20,Raithaslach,590,9,180,arable land,corn (recently harvested),0,0,Wuerm moraine sediment,31.6,34.0,34.5,39.8,49.9,10.3,84.5,14.8,0.8,1.56,1.65,,5,5,,60,,12,2.0,8.2,,41.2,37.1,,8.966642,47.881549
21,Neckartenzlingen,339,14,0,arable land,green manure,0.15,50,Sandstone Keuper,11.4,49.2,39.4,9.3,48.8,41.9,10.4,44.6,44.9,1.52,1.64,1.57,3,5,16,76,8,32,0.8,0.4,,42.4,38.0,40.9,9.247871,48.591520
22,Waldstetten,406,12,0,pasture,pasture,0.2,100,Opalinus Clay,8.9,41.2,50.0,9.6,49.0,41.4,4.3,52.9,42.7,1.08,1.54,1.60,5,15,16,12,8,4,3.7,0.7,1.1,58.6,43.6,41.1,9.815013,48.770545
23,Haidgau,682,14,135,arable land,corn (recently harvested),0,0,Riss moraine sediment,38.6,32.2,29.2,37.8,40.6,21.6,38.7,35.5,25.9,1.73,,,5,15,,,,,4.8,0.9,,35.8,,,9.832559,47.906326
